timestamp,open,high,low,close,volume
2019-07-02 10:35:00,135.9150,136.0700,135.8800,136.0300,266475
2019-07-02 10:30:00,135.7200,135.9500,135.7150,135.9132,235179
2019-07-02 10:25:00,135.7150,135.7950,135.6500,135.7285,148449
2019-07-02 10:20:00,135.7050,135.8150,135.6700,135.7100,151005
2019-07-02 10:15:00,135.8500,135.8600,135.6845,135.7000,150684
2019-07-02 10:10:00,135.8200,135.9065,135.7400,135.8500,186379
2019-07-02 10:05:00,135.7500,135.8300,135.7200,135.8200,173244
2019-07-02 10:00:00,135.7500,135.8450,135.6700,135.7500,175225
2019-07-02 09:55:00,135.7000,135.7700,135.5800,135.7450,228819
2019-07-02 09:50:00,135.9150,135.9300,135.6300,135.7100,282425
2019-07-02 09:45:00,135.6400,135.9050,135.5550,135.9050,285643
2019-07-02 09:40:00,135.6000,135.6500,135.3400,135.6200,265657
2019-07-02 09:35:00,136.1200,136.1200,135.4600,135.5915,692930
2019-07-01 16:00:00,135.5800,135.7500,135.4100,135.4700,875126
2019-07-01 15:55:00,135.4850,135.6300,135.4500,135.5800,566266
2019-07-01 15:50:00,135.4800,135.5400,135.4200,135.4850,239324
2019-07-01 15:45:00,135.4500,135.5000,135.4200,135.4847,283551
2019-07-01 15:40:00,135.4400,135.4800,135.3828,135.4500,193719
2019-07-01 15:35:00,135.4200,135.4800,135.4100,135.4300,232916
2019-07-01 15:30:00,135.5200,135.5400,135.4100,135.4100,219294
2019-07-01 15:25:00,135.4900,135.5100,135.4450,135.5100,134355
2019-07-01 15:20:00,135.4500,135.4900,135.3700,135.4800,167358
2019-07-01 15:15:00,135.4350,135.4800,135.3900,135.4500,344968
2019-07-01 15:10:00,135.3200,135.4650,135.3000,135.4300,498683
2019-07-01 15:05:00,135.1517,135.3600,135.1250,135.3100,240588
2019-07-01 15:00:00,135.1500,135.2000,135.1200,135.1460,182793
2019-07-01 14:55:00,135.1400,135.1900,135.0300,135.1600,123372
2019-07-01 14:50:00,135.1500,135.2395,135.1000,135.1300,159383
2019-07-01 14:45:00,135.1251,135.1900,135.1100,135.1500,125707
2019-07-01 14:40:00,135.1350,135.1800,135.0700,135.1250,140047
2019-07-01 14:35:00,135.0900,135.1500,134.9700,135.1355,264853
2019-07-01 14:30:00,135.1200,135.1700,135.0500,135.0900,229150
2019-07-01 14:25:00,135.1300,135.1700,135.0500,135.1100,226457
2019-07-01 14:20:00,135.2100,135.2150,135.1000,135.1200,219389
2019-07-01 14:15:00,135.1475,135.2800,135.1200,135.2150,155912
2019-07-01 14:10:00,135.1607,135.2050,135.1100,135.1500,147692
2019-07-01 14:05:00,135.3100,135.3200,135.1000,135.1606,144354
2019-07-01 14:00:00,135.2700,135.3400,135.2200,135.3050,85763
2019-07-01 13:55:00,135.3350,135.3600,135.2600,135.2766,92670
2019-07-01 13:50:00,135.2200,135.3715,135.2100,135.3350,97329
2019-07-01 13:45:00,135.2900,135.3300,135.2100,135.2250,117088
2019-07-01 13:40:00,135.3219,135.4100,135.2950,135.2950,90986
2019-07-01 13:35:00,135.4600,135.4700,135.3000,135.3245,157304
2019-07-01 13:30:00,135.4300,135.5000,135.3700,135.4700,121581
2019-07-01 13:25:00,135.5300,135.5400,135.3798,135.4300,135627
2019-07-01 13:20:00,135.4500,135.5400,135.4150,135.5250,199962
2019-07-01 13:15:00,135.5100,135.5785,135.2500,135.4600,297814
2019-07-01 13:10:00,135.2350,135.5300,135.2200,135.5150,254432
2019-07-01 13:05:00,135.2960,135.3500,135.2100,135.2328,89938
2019-07-01 13:00:00,135.3700,135.3700,135.2400,135.2900,175077
2019-07-01 12:55:00,135.5400,135.5700,135.3572,135.3572,213405
2019-07-01 12:50:00,135.5500,135.5900,135.4900,135.5400,154410
2019-07-01 12:45:00,135.5700,135.6200,135.5101,135.5500,89743
2019-07-01 12:40:00,135.6800,135.7200,135.5714,135.5750,112834
2019-07-01 12:35:00,135.7100,135.7200,135.6300,135.6809,98750
